station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP
None, None, None, 2011-02-25 00:00:00, -6.0, -0.1
None, None, None, 2011-02-26 00:00:00, -2.9, 0.0
None, None, None, 2011-02-27 00:00:00, -1.6, 5.4
None, None, None, 2011-02-28 00:00:00, 2.8, 5.8
None, None, None, 2011-03-01 00:00:00, 2.1, 5.0
None, None, None, 2011-03-02 00:00:00, 2.8, 9.2
None, None, None, 2011-03-03 00:00:00, 2.7, 6.5
None, None, None, 2011-03-04 00:00:00, 2.3, 6.8
None, None, None, 2011-03-05 00:00:00, 3.6, 9.7
None, None, None, 2011-03-06 00:00:00, 3.5, 6.0
None, None, None, 2011-03-07 00:00:00, 2.5, 7.2
None, None, None, 2011-03-08 00:00:00, 2.5, 6.5
None, None, None, 2011-03-09 00:00:00, 4.8, 11.8
None, None, None, 2011-03-10 00:00:00, 6.5, 9.3
None, None, None, 2011-03-11 00:00:00, 5.9, 7.4
None, None, None, 2011-03-12 00:00:00, 6.2, 8.5
None, None, None, 2011-03-13 00:00:00, 5.8, 9.8
None, None, None, 2011-03-14 00:00:00, 6.4, 9.1
None, None, None, 2011-03-15 00:00:00, 6.9, 9.2
None, None, None, 2011-03-16 00:00:00, 6.1, 7.8
None, None, None, 2011-03-17 00:00:00, 3.9, 9.1
None, None, None, 2011-03-18 00:00:00, 5.1, 10.0
None, None, None, 2011-03-19 00:00:00, 3.4, 10.7
None, None, None, 2011-03-20 00:00:00, 4.6, 8.6
None, None, None, 2011-03-21 00:00:00, 5.6, 9.0
None, None, None, 2011-03-22 00:00:00, 5.8, 8.6
None, None, None, 2011-03-23 00:00:00, 4.0, 8.3
None, None, None, 2011-03-24 00:00:00, 6.8, 10.2
None, None, None, 2011-03-25 00:00:00, 5.6, 10.2
None, None, None, 2011-03-26 00:00:00, 5.5, 10.3
None, None, None, 2011-03-27 00:00:00, 7.0, 10.5
None, None, None, 2011-03-28 00:00:00, 6.8, 9.1
None, None, None, 2011-03-29 00:00:00, 7.3, 8.6
None, None, None, 2011-03-30 00:00:00, 7.6, 11.3
None, None, None, 2011-03-31 00:00:00, 8.3, 11.7
None, None, None, 2011-04-01 00:00:00, 5.7, 10.0
None, None, None, 2011-04-02 00:00:00, 6.6, 10.0
None, None, None, 2011-04-03 00:00:00, 5.4, 8.6
